wallet,in_degree,out_degree,flow_ratio,pagerank,betweenness
0x000000d40b595b94918a28b27d1e2c66f43a51d3,6,0,0.0,5.5584524469511184e-05,0.0
0x000000ec57fa2d45a50905b072d3c31e11300000,1,0,0.0,1.6531908145179908e-05,0.0
0x000000f20032b9e171844b00ea507e11960bd94a,6,0,0.0,5.5584524469511184e-05,0.0
0x000000ffa51e8fd8dc15c5b77990234810a640e8,0,1,1.0,8.721384880313655e-06,0.0
0x000001226262a04ad4dd56924068e6ea726816b2,0,1,1.0,8.721384880313655e-06,0.0
0x0000021c05af00113bce803a32735496b29a6570,0,1,1.0,8.721384880313655e-06,0.0
0x0000028989b636b15f5e164e039814ff61000000,0,4,1.0,8.721384880313655e-06,0.0
0x0000029b72f4407990850cf031eaa807fe200000,1,0,0.0,1.6531908145179908e-05,0.0
0x000003845129254e67e3ecef365c8c4fa0600000,1,0,0.0,1.6531908145179908e-05,0.0
0x000006d952f8d984941c680c46cbc9f7fd0a5100,0,1,1.0,8.721384880313655e-06,0.0
0x000007cf399229b2f5a4d043f20e90c9c98b7c6a,1,0,0.0,2.295834879488618e-05,0.0
0x000009892ec66ba30de35d190e9737f956000000,1,0,0.0,1.6531908145179908e-05,0.0
0x00000a778ae76daa29ac8ff32914ff51a7200000,1,0,0.0,1.6531908145179908e-05,0.0
0x00000cad74214b2771b692b1065f9d0ad7b00000,0,1,1.0,8.721384880313655e-06,0.0
0x00000f312c54d0dd25888ee9cdc3dee988700000,1,0,0.0,1.2626646512746781e-05,0.0
0x0000130d512ca69ca38add5b9ab2f9deff95c882,2,0,0.0,2.0437169777613034e-05,0.0
0x000022e528968de17f8ec16a3128dd403a8f0000,0,3,1.0,8.721384880313655e-06,0.0
0x00002d98735603b0447b46c7807c385c29230000,1,0,0.0,1.6531908145179908e-05,0.0
0x00002ddee5038f25d1f73702c5c3bd905b8a0000,4,0,0.0,3.08512007974347e-05,0.0
0x000030c27dc48b8e0381d6cae65bfbbbdaa1c10c,0,1,1.0,8.721384880313655e-06,0.0
0x000037bb05b2cef17c6469f4bcdb198826ce0000,1,0,0.0,9.502437206800279e-06,0.0
0x00005a262f9139c49a1196e278ec507c1c710000,0,1,1.0,8.721384880313655e-06,0.0
0x00005ea00ac477b1030ce78506496e8c2de24bf5,10,0,0.0,8.292135589654306e-05,0.0
0x0000bdf9df069b009f79f075b50e0d86b8880000,5,0,0.0,4.074453026626529e-05,0.0
0x0000c5d73291e9ae226e7fe59ea1e6b68be30000,2,0,0.0,1.731296047166653e-05,0.0
0x0000c84206a971ba91b6ca790636cff1640d0000,3,0,0.0,2.5123483736532788e-05,0.0
0x0000db5c8b030ae20308ac975898e09741e70000,0,10,1.0,8.721384880313655e-06,0.0
0x0000e0ca771e21bd00057f54a68c30d400000000,2,0,0.0,2.4342431410046164e-05,0.0
0x0000e3e55554affb68617c09d9564eefc28a2222,0,1,1.0,8.721384880313655e-06,0.0
0x0000e53a54a68e047b73cffdea45f44368a60000,0,2,1.0,8.721384880313655e-06,0.0
0x0000f0d34d51d23b0dd75a6b720c7f4f10430000,0,1,1.0,8.721384880313655e-06,0.0
0x00015c560f25e6546eea6d1efaebfb9f38d289b4,1,0,0.0,2.2483751336997166e-05,0.0
0x0001a500a6b18995b03f44bb040a5ffc28e45cb0,6,0,0.0,5.1679262837078055e-05,0.0
0x000204ac367975e5309b8402bcafae12b0180000,1,0,0.0,1.6531908145179908e-05,0.0
0x00021787f026146fddaefd58232600d6855296dc,0,1,1.0,8.721384880313655e-06,0.0
0x00033bb361aa1d1650b7e44c93897627b3a4d243,0,1,1.0,8.721384880313655e-06,0.0
0x00040595faf5abcfb108d5d0bc9e3273a7fc4fd6,0,1,1.0,8.721384880313655e-06,0.0
0x000461a73d3985eef4923655782aa5d0de75c111,0,1,1.0,8.721384880313655e-06,0.0
0x0004def47033b14a05ec3a810bcd2060e40a10aa,0,1,1.0,8.721384880313655e-06,0.0
0x00064db09b6b5e3ae7d50794ba54b07ae6bc4faa,0,1,1.0,8.721384880313655e-06,0.0
0x00073bda963bf6f3bdefb60533b0012cf7fd4164,0,1,1.0,8.721384880313655e-06,0.0
0x0007fcf5590179336c826a60c80976623c7bbc29,0,1,1.0,8.721384880313655e-06,0.0
0x000830ac842bda8f218cf8931cd36559b0c489dc,0,1,1.0,8.721384880313655e-06,0.0
0x0008ddf90c8a77cefcf1bc898c1eab61506d4283,0,1,1.0,8.721384880313655e-06,0.0
0x000967f9f60775e409b1dedf6c1b2e80643a1195,0,1,1.0,8.721384880313655e-06,0.0
0x000987c846bc6b516793b3c8ca2a9a1e3fd27e2a,0,1,1.0,8.721384880313655e-06,0.0
0x000b2191f8461a2d1f33b30a16f37cd30cf60000,2,0,0.0,2.4342431410046164e-05,0.0
0x000beabbf0a8035c23bffb94b0b4fb4a3861f7f4,1,0,0.0,8.754064893974181e-06,0.0
0x000c227e72d9ed7a35a09e260cdd5bd468dcd29b,0,1,1.0,8.721384880313655e-06,0.0
0x000cec04435818f9bb9008f85193ef7f20c44007,0,1,1.0,8.721384880313655e-06,0.0
0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,0,1,1.0,8.721384880313655e-06,0.0
0x000e9c470751e06c64a213719557484e5677cf42,0,1,1.0,8.721384880313655e-06,0.0
0x000fa03756ce9166e8a185f8a9c460bc1f9b47fd,0,1,1.0,8.721384880313655e-06,0.0
0x0010d85dd4621505b12bb033c32fca82b559bb57,0,1,1.0,8.721384880313655e-06,0.0
